,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66,element,potential,crystalstructure
10,218.187,184.455,184.455,-0.0,-0.0,-0.0,184.455,218.187,184.455,-0.0,-0.0,-0.0,184.455,184.455,218.187,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,64.914,-0.0,-0.0,0.0,0.0,-0.0,0.0,64.914,-0.0,0.0,-0.0,0.0,-0.0,-0.0,64.914,Pd,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Pd,fcc
11,303.052,273.105,273.105,0.0,0.0,0.0,273.105,303.052,273.105,-0.0,0.0,0.0,273.105,273.105,303.052,0.0,-0.0,0.0,0.0,-0.0,-0.0,68.283,0.0,-0.0,-0.0,0.0,-0.0,-0.0,68.283,-0.0,0.0,-0.0,0.0,-0.0,0.0,68.283,Pt,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Pt,fcc
12,124.119,93.468,93.468,0.0,0.0,0.0,93.468,124.119,93.468,0.0,-0.0,0.0,93.468,93.468,124.119,0.0,0.0,-0.0,-0.0,-0.0,-0.0,46.157,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,46.157,-0.0,-0.0,-0.0,0.0,0.0,-0.0,46.157,Ag,1987--Ackland-G-J-Tichy-G-Vitek-V-Finnis-M-W--Ag,fcc
13,186.174,157.01,157.01,0.0,0.0,0.0,157.01,186.174,157.01,0.0,0.0,0.0,157.01,157.01,186.174,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,41.971,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,41.971,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,41.971,Au,1987--Ackland-G-J-Tichy-G-Vitek-V-Finnis-M-W--Au,fcc
14,168.494,121.326,121.326,0.0,0.0,0.0,121.326,168.494,121.326,0.0,0.0,0.0,121.326,121.326,168.494,0.0,0.0,0.0,0.0,0.0,-0.0,75.31,0.0,0.0,0.0,0.0,-0.0,0.0,75.31,0.0,0.0,0.0,0.0,0.0,0.0,75.31,Cu,1987--Ackland-G-J-Tichy-G-Vitek-V-Finnis-M-W--Cu,fcc
15,260.685,150.546,150.546,-0.0,-0.0,-0.0,150.546,260.685,150.546,-0.0,0.0,-0.0,150.546,150.546,260.685,0.0,0.0,-0.0,-0.0,-0.0,-0.0,131.432,0.0,-0.0,-0.0,-0.0,-0.0,0.0,131.432,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,131.432,Ni,1987--Ackland-G-J-Tichy-G-Vitek-V-Finnis-M-W--Ni,fcc
16,129.069,91.074,91.074,-0.0,-0.0,0.0,91.074,129.069,91.074,-0.0,-0.0,-0.0,91.074,91.074,129.069,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,56.743,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,56.743,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,56.743,Ag,1989--Adams-J-B-Foiles-S-M-Wolfer-W-G--Ag-Au-Cu-Ni-Pd-Pt,fcc
17,183.248,158.712,158.712,0.0,0.0,-0.0,158.712,183.248,158.712,-0.0,0.0,-0.0,158.712,158.712,183.248,0.0,0.0,-0.0,-0.0,-0.0,-0.0,45.261,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,45.261,0.0,-0.0,-0.0,-0.0,-0.0,0.0,45.261,Au,1989--Adams-J-B-Foiles-S-M-Wolfer-W-G--Ag-Au-Cu-Ni-Pd-Pt,fcc
18,168.063,123.754,123.754,-0.0,0.0,0.0,123.754,168.063,123.754,-0.0,-0.0,-0.0,123.754,123.754,168.063,0.0,-0.0,-0.0,0.0,0.0,-0.0,78.847,0.0,-0.0,0.0,0.0,0.0,0.0,78.847,0.0,0.0,-0.0,0.0,0.0,0.0,78.847,Cu,1989--Adams-J-B-Foiles-S-M-Wolfer-W-G--Ag-Au-Cu-Ni-Pd-Pt,fcc
19,235.575,153.141,153.141,0.0,-0.0,-0.0,153.141,235.575,153.141,-0.0,-0.0,-0.0,153.141,153.141,235.575,-0.0,0.0,-0.0,0.0,-0.0,-0.0,133.505,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,133.505,-0.0,-0.0,-0.0,0.0,0.0,-0.0,133.505,Ni,1989--Adams-J-B-Foiles-S-M-Wolfer-W-G--Ag-Au-Cu-Ni-Pd-Pt,fcc
